index	scenario_id	compound_id	compound_name	smiles	canonicalize_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp
1	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/064ce363-31d4-4e29-ab07-8bbbe95ab970	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					0.33	L / (g TSS * day)	90% credibility interval: 0.26, 0.46	Pseudo first order	7.1	pH	23.0	℃	50.0	mL	25.0	d	sludge age	1.9	2.5	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100.0	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	WWTP Duebendorf (ARA Neugut), Switzerland	mixed WW (municipal & industrial)
2	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/ea52ff4e-9140-4d17-bff6-447ab220c990	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					1.3	L / (g TSS * day)	90% credibility interval: 1.0, 1.6	Pseudo first order	8.1	pH	21.0	℃	50.0	mL	25.0	d	sludge age	2.3	2.3	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100.0	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	WWTP Duebendorf (ARA Neugut), Switzerland	mixed WW (municipal & industrial)
3	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/a93f4703-7bb9-4c91-8273-7b181b675f1a	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					0.056	L / (g TSS * day)	90% credibility interval: 0.037, 0.076	Pseudo first order	6.3	pH	21.0	℃	50.0	mL	25.0	d	sludge age	2.0	2.1	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100.0	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	WWTP Duebendorf (ARA Neugut), Switzerland	mixed WW (municipal & industrial)
4	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/ea9f7a7a-3c98-4fd8-9b8a-958b3470a11c	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					14.4	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
5	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/d7ae2ae7-33ff-4b51-b0d6-fc6ddf1b0374	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					7.68	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
6	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/aa0b659f-7c08-482c-9f1d-29114a2b9e24	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					31.2	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
7	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/dfa21349-2f79-46e7-88c3-9a721928c5d0	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					0.864	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
8	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/b356573f-a1b0-4b7e-88a0-f4c34c4f6ab0	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					0.096	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
9	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/f4e8345b-42fe-4a9f-ba10-98b2998ebac7	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					1.344	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
10	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/dfe35ca7-154f-4d7a-8155-5a44912663c2	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					0.84	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
11	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/92483749-8ff0-404e-81cf-e4271e12fb9b	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					0.204	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
12	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/bec643d4-8f4b-4ba2-9cf5-01cd2773bd0a	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					1.416	1 / day	no comment	First order	7.8	pH	30.0	℃	100.0	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200.0	mL								aerob	mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	Tokyo, Japan	other
13	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/1ba1e5b7-cb73-4f8c-923f-08f57b6d9713	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					1.45	L / (g TSS * day)	standard deviation: 0.20	Pseudo first order	7.0	pH	25.0	℃			12.0	d	sludge retention time	1.9	1.9	g/L		nitrification & denitrification	amber glass bottle	500.0	mL								aerob	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW
14	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/a119c714-3acf-42a7-bfa6-1e0f4be74586	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					1.42	L / (g TSS * day)	standard deviation: 0.17	Pseudo first order	7.0	pH	25.0	℃			12.0	d	sludge retention time	1.9	1.9	g/L	addition of 20mg/L NH4-N	nitrification & denitrification	amber glass bottle	500.0	mL								aerob	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW
15	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/f8c79be8-3287-4b4c-8ff5-097d12e86422	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	Acesulfame	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1					3.53	L / (g TSS * day)	standard deviation: 0.09	Pseudo first order			25.0	℃			12.0	d	sludge retention time				addition of 200mg/L NO3-N	nitrification & denitrification	amber glass bottle	500.0	mL								nitrate-reducing	Effluent WWTP		stirring	nitrification basin	WWTP of Koblenz (Germany)	municipal WW
