index	scenario_id	compound_id	compound_name	smiles	reduced_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp	k_combined	k_biomass_corrected	hl_combined	hl_biomass_corrected	log_k_combined	log_k_biomass_corrected	log_hl_combined	log_hl_biomass_corrected
1	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/064ce363-31d4-4e29-ab07-8bbbe95ab970	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					0.33	L / (g TSS * day)	"90% credibility interval: 0.26, 0.46"	Pseudo first order	7.1	pH	23	℃	50	mL	25	d	sludge age	1.9	2.5	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	"WWTP Duebendorf (ARA Neugut), Switzerland"	mixed WW (municipal & industrial)	0.627	0.33	1.105497896	0.581840998	-0.202732459	-0.48148606	0.04355792	-0.235195681
2	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/ea52ff4e-9140-4d17-bff6-447ab220c990	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					1.3	L / (g TSS * day)	"90% credibility interval: 1.0, 1.6"	Pseudo first order	8.1	pH	21	℃	50	mL	25	d	sludge age	2.3	2.3	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	"WWTP Duebendorf (ARA Neugut), Switzerland"	mixed WW (municipal & industrial)	2.99	1.3	0.2318218	0.100792087	0.475671188	0.113943352	-0.634845727	-0.996573563
3	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/a93f4703-7bb9-4c91-8273-7b181b675f1a	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/50c76339-d25a-46f3-8237-60a2957f0ce3/structure/b482a08f-b177-47b0-8243-1ceaf0cc6111	1-(3-chlorophenyl) piperazine	C1=CC(=C(C=C1)N2CCNCC2)Cl	Clc1ccccc1N1CCNCC1					0.056	L / (g TSS * day)	"90% credibility interval: 0.037, 0.076"	Pseudo first order	6.3	pH	21	℃	50	mL	25	d	sludge age	2	2.1	g/L		nitrification & denitrification & biological phosphorus removal	amber Schott bottle	100	mL						mg/(L * h)		aerob	tap water	spiking in solvent	bubbling air and stirring	nitrification basin	"WWTP Duebendorf (ARA Neugut), Switzerland"	mixed WW (municipal & industrial)	0.112	0.056	6.188814112	3.094407056	-0.950781977	-1.251811973	0.791607438	0.490577443
4	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/ea9f7a7a-3c98-4fd8-9b8a-958b3470a11c	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					14.4	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	14.4	38.88	0.048135221	0.01782786	1.158362492	1.589726256	-1.317537031	-1.748900795
5	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/d7ae2ae7-33ff-4b51-b0d6-fc6ddf1b0374	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					7.68	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	7.68	5.376	0.090253539	0.128933627	0.88536122	0.73045926	-1.044535759	-0.889633799
6	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/aa0b659f-7c08-482c-9f1d-29114a2b9e24	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/7eee2855-1327-41e7-ae41-0daa2f8d5441/structure/d681a46b-095c-4e04-9513-11871707885b	17-beta-estradiol (E2)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O					31.2	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	31.2	84.24	0.022216256	0.008228243	1.494154594	1.925518358	-1.653329133	-2.084692897
7	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/dfa21349-2f79-46e7-88c3-9a721928c5d0	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					0.864	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	0.864	2.3328	0.802253681	0.297130993	-0.063486258	0.367877507	-0.095688281	-0.527052046
8	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/b356573f-a1b0-4b7e-88a0-f4c34c4f6ab0	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					0.096	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				0.7	0.7	g/L	Allylthiourea as inhibitor of ammonia oxidation	nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	0.096	0.0672	7.220283131	10.31469019	-1.017728767	-1.172630727	0.858554228	1.013456188
9	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/f4e8345b-42fe-4a9f-ba10-98b2998ebac7	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/c8a4f7cd-e334-4c48-aa9d-2d17d817c8a8/structure/e2814577-f0a1-45d2-86fc-2ff0ff5ff411	Estrone (E1)	CC12CCC3C4=CC=C(C=C4CCC3C2CCC1=O)O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O					1.344	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	1.344	3.6288	0.515734509	0.191012781	0.128399269	0.559763033	-0.287573808	-0.718937572
10	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/dfe35ca7-154f-4d7a-8155-5a44912663c2	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	17alpha-ethynylestradiol (EE2)	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C					0.84	1 / day	no comment	First order	7.8	pH	30	℃	100	mL				2.7	2.7	g/L		nitrification	Erlemeyer flasks	200	mL								aerob	"mineral salt medium [(NH4)2SO4, 6.6 g/L; KH2PO4, 1.36 g/L; MgSO4*7H2O, 2.46 g/L; NaCl, 2.92 g/L; CaCO3, 1.0 g/L and EDTA-Fe, 6mg/L]"	spiking in solvent	shaking	nitrifiying activated sludge form nitrification tank	"Tokyo, Japan"	other	0.84	2.268	0.825175215	0.30562045	-0.075720714	0.35564305	-0.083453825	-0.514817589
