ASCII SAMPLE CYCLES :			coverage dependence of o2  ramp4 exp1.mdc
DATE :	12/3/2019	TIME :	11:45:32 AM
CONVERTED CYCLES :			3768
Number of stored cycles			3768
Printed start cycle			1
Printed end cycle			3768
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	32.00	min:	7.64219E-011	max:	4.01401E-006	
Datablock 1	Temp	[K]	
'1/0'	Temp	min:	93.8295	max:	1372.5	
Cycle	Date	Time	RelTime[s]	'0/0'	'1/0'	
2006	12/3/2019	11:52:55:50 AM	443.5	1.16389E-010	300.058	
2007	12/3/2019	11:52:55:71 AM	443.719	1.24033E-010	300.772	
2008	12/3/2019	11:52:55:95 AM	443.953	1.18937E-010	301.824	
2009	12/3/2019	11:52:56:17 AM	444.172	1.19938E-010	303.29	
2010	12/3/2019	11:52:56:39 AM	444.39	1.23669E-010	303.891	
2011	12/3/2019	11:52:56:60 AM	444.609	1.16116E-010	305.244	
2012	12/3/2019	11:52:56:84 AM	444.844	1.162E-010	306.672	
2013	12/3/2019	11:52:57:06 AM	445.062	1.17117E-010	308.288	
2014	12/3/2019	11:52:57:28 AM	445.281	1.2467E-010	309.979	
2015	12/3/2019	11:52:57:51 AM	445.515	1.11293E-010	311.294	
2016	12/3/2019	11:52:57:73 AM	445.734	1.15479E-010	312.121	
2017	12/3/2019	11:52:57:95 AM	445.953	1.16753E-010	314.451	
2018	12/3/2019	11:52:58:17 AM	446.172	1.18482E-010	315.954	
2019	12/3/2019	11:52:58:39 AM	446.39	1.16025E-010	317.833	
2020	12/3/2019	11:52:58:62 AM	446.625	1.19574E-010	319.749	
2021	12/3/2019	11:52:58:84 AM	446.844	1.22486E-010	320.764	
2022	12/3/2019	11:52:59:07 AM	447.078	1.13841E-010	322.68	
2023	12/3/2019	11:52:59:29 AM	447.297	1.14569E-010	324.071	
2024	12/3/2019	11:52:59:51 AM	447.515	1.21303E-010	325.386	
2025	12/3/2019	11:52:59:73 AM	447.734	1.23305E-010	327.002	
2026	12/3/2019	11:52:59:95 AM	447.953	1.12931E-010	328.881	
2027	12/3/2019	11:53:00:17 AM	448.172	1.14842E-010	331.135	
2028	12/3/2019	11:53:00:39 AM	448.39	1.13204E-010	332.714	
2029	12/3/2019	11:53:00:60 AM	448.609	1.17026E-010	334.142	
2030	12/3/2019	11:53:00:84 AM	448.844	1.19301E-010	335.72	
2031	12/3/2019	11:53:01:06 AM	449.062	1.1466E-010	337.711	
2032	12/3/2019	11:53:01:28 AM	449.281	1.16025E-010	339.816	
2033	12/3/2019	11:53:01:50 AM	449.5	1.14114E-010	341.056	
2034	12/3/2019	11:53:01:73 AM	449.734	1.21667E-010	342.634	
2035	12/3/2019	11:53:01:95 AM	449.953	1.19392E-010	344.476	
2036	12/3/2019	11:53:02:17 AM	450.172	1.19028E-010	346.467	
2037	12/3/2019	11:53:02:39 AM	450.39	1.19847E-010	348.158	
2038	12/3/2019	11:53:02:60 AM	450.609	1.14114E-010	349.736	
2039	12/3/2019	11:53:02:82 AM	450.828	1.2103E-010	351.427	
2040	12/3/2019	11:53:03:06 AM	451.062	1.07471E-010	352.63	
2041	12/3/2019	11:53:03:28 AM	451.281	1.15934E-010	354.509	
2042	12/3/2019	11:53:03:50 AM	451.5	1.19756E-010	356.538	
2043	12/3/2019	11:53:03:71 AM	451.719	1.18482E-010	358.342	
2044	12/3/2019	11:53:03:95 AM	451.953	1.18482E-010	359.657	
2045	12/3/2019	11:53:04:17 AM	452.172	1.21394E-010	361.386	
2046	12/3/2019	11:53:04:39 AM	452.39	1.15388E-010	363.302	
2047	12/3/2019	11:53:04:60 AM	452.609	1.16844E-010	364.956	
2048	12/3/2019	11:53:04:82 AM	452.828	1.16389E-010	366.835	
2049	12/3/2019	11:53:05:06 AM	453.062	1.14364E-010	368.45	
2050	12/3/2019	11:53:05:28 AM	453.281	1.21576E-010	370.104	
2051	12/3/2019	11:53:05:50 AM	453.5	1.13659E-010	371.419	
2052	12/3/2019	11:53:05:71 AM	453.719	1.14387E-010	373.899	
2053	12/3/2019	11:53:05:95 AM	453.953	1.16935E-010	375.665	
2054	12/3/2019	11:53:06:17 AM	454.172	1.1648E-010	377.319	
2055	12/3/2019	11:53:06:39 AM	454.39	1.16662E-010	379.085	
2056	12/3/2019	11:53:06:60 AM	454.609	1.20029E-010	380.776	
2057	12/3/2019	11:53:06:82 AM	454.828	1.14842E-010	382.354	
2058	12/3/2019	11:53:07:04 AM	455.047	1.10292E-010	384.158	
2059	12/3/2019	11:53:07:26 AM	455.265	1.14751E-010	385.849	
