ASCII SAMPLE CYCLES :			coverage dependence of o2  ramp4 exp4.mdc
DATE :	12/3/2019	TIME :	12:36:44 PM
CONVERTED CYCLES :			3570
Number of stored cycles			3570
Printed start cycle			1
Printed end cycle			3570
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	32.00	min:	9.28201E-011	max:	1.76426E-007	
Datablock 1	Temp	[K]	
'1/0'	Temp	min:	93.3409	max:	1372.35	
Cycle	Date	Time	RelTime[s]	'0/0'	'1/0'	
2023	12/3/2019	12:44:12:75 PM	448.75	1.23487E-010	300.509	
2024	12/3/2019	12:44:12:96 PM	448.969	1.33042E-010	301.148	
2025	12/3/2019	12:44:13:18 PM	449.187	1.27309E-010	302.275	
2026	12/3/2019	12:44:13:40 PM	449.406	1.25398E-010	303.14	
2027	12/3/2019	12:44:13:64 PM	449.641	1.33406E-010	303.929	
2028	12/3/2019	12:44:13:85 PM	449.859	1.27127E-010	305.357	
2029	12/3/2019	12:44:14:07 PM	450.078	1.30403E-010	306.747	
2030	12/3/2019	12:44:14:29 PM	450.297	1.2922E-010	307.987	
2031	12/3/2019	12:44:14:53 PM	450.531	1.31859E-010	309.753	
2032	12/3/2019	12:44:14:76 PM	450.766	1.26672E-010	311.407	
2033	12/3/2019	12:44:14:98 PM	450.984	1.29311E-010	312.872	
2034	12/3/2019	12:44:15:21 PM	451.219	1.3038E-010	314.977	
2035	12/3/2019	12:44:15:43 PM	451.437	1.33406E-010	316.405	
2036	12/3/2019	12:44:15:67 PM	451.672	1.31131E-010	318.208	
2037	12/3/2019	12:44:15:89 PM	451.891	1.30494E-010	319.712	
2038	12/3/2019	12:44:16:10 PM	452.109	1.29857E-010	321.027	
2039	12/3/2019	12:44:16:32 PM	452.328	1.32951E-010	322.267	
2040	12/3/2019	12:44:16:54 PM	452.547	1.27218E-010	324.033	
2041	12/3/2019	12:44:16:76 PM	452.766	1.22941E-010	325.574	
2042	12/3/2019	12:44:16:98 PM	452.984	1.3013E-010	327.077	
2043	12/3/2019	12:44:17:20 PM	453.203	1.28674E-010	328.542	
2044	12/3/2019	12:44:17:42 PM	453.422	1.26126E-010	331.135	
2045	12/3/2019	12:44:17:64 PM	453.641	1.274E-010	333.014	
2046	12/3/2019	12:44:17:85 PM	453.859	1.26945E-010	334.367	
2047	12/3/2019	12:44:18:07 PM	454.078	1.26877E-010	335.945	
2048	12/3/2019	12:44:18:29 PM	454.297	1.31131E-010	337.336	
2049	12/3/2019	12:44:18:51 PM	454.516	1.21394E-010	339.252	
2050	12/3/2019	12:44:18:75 PM	454.75	1.34316E-010	340.981	
2051	12/3/2019	12:44:18:96 PM	454.969	1.25398E-010	342.747	
2052	12/3/2019	12:44:19:18 PM	455.187	1.29857E-010	344.288	
2053	12/3/2019	12:44:19:40 PM	455.406	1.20939E-010	346.091	
2054	12/3/2019	12:44:19:62 PM	455.625	1.33679E-010	347.67	
2055	12/3/2019	12:44:19:84 PM	455.844	1.33952E-010	349.586	
2056	12/3/2019	12:44:20:06 PM	456.062	1.35636E-010	351.503	
2057	12/3/2019	12:44:20:28 PM	456.281	1.33042E-010	352.668	
2058	12/3/2019	12:44:20:50 PM	456.5	1.19665E-010	354.096	
2059	12/3/2019	12:44:20:73 PM	456.734	1.26763E-010	356.388	
2060	12/3/2019	12:44:20:95 PM	456.953	1.30964E-010	358.041	
2061	12/3/2019	12:44:21:17 PM	457.172	1.25459E-010	359.807	
2062	12/3/2019	12:44:21:39 PM	457.391	1.26308E-010	361.611	
2063	12/3/2019	12:44:21:60 PM	457.609	1.30039E-010	363.002	
2064	12/3/2019	12:44:21:84 PM	457.844	1.28045E-010	364.88	
2065	12/3/2019	12:44:22:06 PM	458.062	1.3559E-010	366.571	
2066	12/3/2019	12:44:22:28 PM	458.281	1.28492E-010	368.262	
2067	12/3/2019	12:44:22:50 PM	458.5	1.33406E-010	369.954	
2068	12/3/2019	12:44:22:71 PM	458.719	1.30039E-010	371.306	
2069	12/3/2019	12:44:22:95 PM	458.953	1.31131E-010	373.749	
2070	12/3/2019	12:44:23:17 PM	459.172	1.33315E-010	375.477	
2071	12/3/2019	12:44:23:39 PM	459.391	1.37319E-010	377.056	
2072	12/3/2019	12:44:23:62 PM	459.625	1.32883E-010	378.634	
2073	12/3/2019	12:44:23:84 PM	459.844	1.32405E-010	380.738	
2074	12/3/2019	12:44:24:06 PM	460.062	1.28856E-010	382.091	
2075	12/3/2019	12:44:24:28 PM	460.281	1.29948E-010	384.12	
2076	12/3/2019	12:44:24:50 PM	460.5	1.25489E-010	385.849	
2077	12/3/2019	12:44:24:71 PM	460.719	1.34134E-010	387.578	
2078	12/3/2019	12:44:24:93 PM	460.937	1.28856E-010	389.419	
2079	12/3/2019	12:44:25:17 PM	461.172	1.31404E-010	391.335	
2080	12/3/2019	12:44:25:39 PM	461.391	1.2467E-010	392.951	
2081	12/3/2019	12:44:25:60 PM	461.609	1.28037E-010	394.793	
2082	12/3/2019	12:44:25:82 PM	461.828	1.32132E-010	396.145	
2083	12/3/2019	12:44:26:04 PM	462.047	1.34953E-010	398.287	
2084	12/3/2019	12:44:26:26 PM	462.266	1.30858E-010	399.828	
2085	12/3/2019	12:44:26:48 PM	462.484	1.31404E-010	401.369	
2086	12/3/2019	12:44:26:71 PM	462.719	1.27036E-010	402.797	
2087	12/3/2019	12:44:26:93 PM	462.937	1.31859E-010	405.164	
2088	12/3/2019	12:44:27:17 PM	463.172	1.27309E-010	406.404	
2089	12/3/2019	12:44:27:39 PM	463.391	1.27127E-010	408.509	
2090	12/3/2019	12:44:27:60 PM	463.609	1.30039E-010	410.275	
2091	12/3/2019	12:44:27:82 PM	463.828	1.33588E-010	411.665	
2092	12/3/2019	12:44:28:04 PM	464.047	1.27855E-010	413.356	
2093	12/3/2019	12:44:28:28 PM	464.281	1.25034E-010	415.16	
2094	12/3/2019	12:44:28:50 PM	464.5	1.32405E-010	417.264	
2095	12/3/2019	12:44:28:71 PM	464.719	1.31131E-010	418.392	
